iata,name,city
ROG,Rogers Executive - Carter Field,Rogers
ROW,Roswell Air Center Airport,Roswell
ROX,Roseau Municipal/Rudy Billberg Field,Roseau
RIE,Rice Lake Regional/Carl's Field,Rice Lake
RPX,Roundup Airport,Roundup
WBR,Roben-Hood Airport,Big Rapids
RRL,Merrill Municipal Airport,Merrill
RRT,Warroad International Memorial Airport,Warroad
RSL,Russell Municipal Airport,Russell
RSN,Ruston Regional Airport,Ruston
RST,Rochester International Airport,Rochester
RSW,Southwest Florida International Airport,Fort Myers
RTN,Raton Municipal/Crews Field,Raton
SRW,Mid-Carolina Regional Airport,Salisbury
RUT,Rutland/Southern Vermont Regional Airport,Rutland
RED,Mifflin County Airport,Reedsville
RVS,Tulsa Riverside Airport,Tulsa
RWF,Redwood Falls Municipal Airport,Redwood Falls
RWI,Rocky Mount/Wilson Regional Airport,Rocky Mount
RWL,Rawlins Municipal/Harvey Field,Rawlins
RXE,Rexburg-Madison County Airport,Rexburg
RNZ,Jasper County Airport,Rensselaer
AHM,Ashland Municipal/Sumner Parker Field,Ashland
BDY,Bandon State Airport,Bandon
SUO,Sunriver Airport,Sunriver
LPS,Lopez Island Airport,Lopez
MDJ,Madras Municipal Airport,Madras
PRZ,Prineville Airport,Prineville
SAA,Shively Field,Saratoga
SAC,Sacramento Executive Airport,Sacramento
SAD,Safford Regional Airport,Safford
SAF,Santa Fe Regional Airport,Santa Fe
SAN,San Diego International Airport,San Diego
SAR,Sparta Community-Hunter Field,Sparta
SAS,Salton Sea Airport,Salton City
SAT,San Antonio International Airport,San Antonio
SAV,Savannah/Hilton Head International Airport,Savannah
MQT,Marquette/Sawyer Regional Airport,Marquette
SBA,Santa Barbara Municipal Airport,Santa Barbara
SBD,San Bernardino International Airport,San Bernardino
SBM,Sheboygan County Memorial Airport,Sheboygan
SBN,South Bend International Airport,South Bend
SBP,San Luis Obispo County Regional Airport,San Luis Obispo
SBS,Steamboat Springs/Bob Adams Field,Steamboat Springs
SBX,Shelby Airport,Shelby
SBY,Salisbury-Ocean City Wicomico Regional Airport,Salisbury
SCB,Scribner State Airport,Scribner
SCH,Schenectady County Airport,Schenectady
SCK,Stockton Metro Airport,Stockton
SDF,Louisville Muhammad Ali International Airport,Louisville
SCF,Scottsdale Airport,Scottsdale
SDM,Brown Field Municipal Airport,San Diego
SDY,Sidney-Richland Regional Airport,Sidney
SEA,Seattle-Tacoma International Airport,Seattle
SEE,Gillespie Field,San Diego/El Cajon
SEF,Sebring Regional Airport,Sebring
SEG,Penn Valley Airport,Selinsgrove
SEM,Craig Field,Selma
SEP,Stephenville Clark Regional Airport,Stephenville
SER,Freeman Municipal Airport,Seymour
SDX,Sedona Airport,Sedona
SFB,Orlando Sanford International Airport,Orlando
SFF,Felts Field,Spokane
SFM,Sanford Seacoast Regional Airport,Sanford
SFO,San Francisco International Airport,San Francisco
SFZ,North Central State Airport,Pawtucket
SGF,Springfield-Branson Ntl Airport,Springfield
SGH,Springfield/Beckley Municipal Airport,Springfield
UST,Northeast Florida Regional Airport,St Augustine
SGR,Sugar Land Regional Airport,Houston
SGT,Stuttgart Municipal Carl Humphrey Field,Stuttgart
SGU,St George Regional Airport,St George
SHD,Shenandoah Valley Regional Airport,Staunton/Waynesboro/Harrisonburg
SHN,Sanderson Field,Shelton
SHR,Sheridan County Airport,Sheridan
SHV,Shreveport Regional Airport,Shreveport
SIK,Sikeston Memorial Municipal Airport,Sikeston
SIV,Sullivan County Airport,Sullivan
SIY,Siskiyou County Airport,Montague
SJC,Norman Y Mineta San Jose International Airport,San Jose
SJN,St Johns Industrial Air Park,St Johns
SJT,San Angelo Regional/Mathis Field,San Angelo
SKA,Fairchild Afb Airport,Spokane
SKF,Kelly Field,San Antonio
TSM,Taos Regional Airport,Taos
SLB,Storm Lake Municipal Airport,Storm Lake
SLC,Salt Lake City International Airport,Salt Lake City
SLE,Mcnary Field,Salem
SLG,Smith Field,Siloam Springs
SLK,Adirondack Regional Airport,Saranac Lake
SLN,Salina Regional Airport,Salina
SLO,Salem-Leckrone Airport,Salem
SLR,Sulphur Springs Municipal Airport,Sulphur Springs
SMD,Smith Field,Fort Wayne
SME,Lake Cumberland Regional Airport,Somerset
SMF,Sacramento International Airport,Sacramento
SMN,Lemhi County Airport,Salmon
SMO,Santa Monica Municipal Airport,Santa Monica
SUM,Sumter Airport,Sumter
SMX,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria
SNA,John Wayne/Orange County Airport,Santa Ana
SNK,Winston Field,Snyder
SNL,Shawnee Regional Airport,Shawnee
SNS,Salinas Municipal Airport,Salinas
SNY,Sidney Municipal/Lloyd W Carr Field,Sidney
SOP,Moore County Airport,Pinehurst/Southern Pines
SOW,Show Low Regional Airport,Show Low
SPA,Spartanburg Downtown Memorial/Simpson Field,Spartanburg
SPF,Black Hills-Clyde Ice Field,Spearfish
SPG,Albert Whitted Airport,St Petersburg
SPI,Abraham Lincoln Capital Airport,Springfield
SPS,Sheppard Afb/Wichita Falls Municipal Airport,Wichita Falls
SPW,Spencer Municipal Airport,Spencer
SQI,Whiteside County/Jos H Bittorf Field,Sterling/Rockfalls
SQL,San Carlos Airport,San Carlos
SRC,Searcy Regional Airport,Searcy
SRQ,Sarasota/Bradenton International Airport,Sarasota/Bradenton
RUI,Sierra Blanca Regional Airport,Ruidoso
SRV,Stony River 2 Airport,Stony River
SSC,Shaw Afb Airport,Sumter
SSF,Stinson Municipal Airport,San Antonio
SSI,St Simons Island Airport,St Simons Island
STC,St Cloud Regional Airport,St Cloud
STE,Stevens Point Municipal Airport,Stevens Point
STJ,Rosecrans Memorial Airport,St Joseph
STK,Sterling Municipal Airport,Sterling
STL,St Louis Lambert International Airport,St Louis
STP,St Paul Downtown Holman Field,St Paul
STS,Charles M Schulz - Sonoma County Airport,Santa Rosa
SUA,Witham Field,Stuart
SUD,Stroud Municipal Airport,Stroud
SUE,Door County Cherryland Airport,Sturgeon Bay
SUN,Friedman Memorial Airport,Hailey
SUS,Spirit Of St Louis Airport,St Louis
SUU,Travis Afb Airport,Fairfield
SUW,Richard I Bong Airport,Superior
SUX,Sioux Gateway/Brig General Bud Day Field,Sioux City
SVC,Grant County Airport,Silver City
SVE,Susanville Municipal Airport,Susanville
SVH,Statesville Regional Airport,Statesville
SVN,Hunter Army Air Field,Savannah
SWF,New York Stewart International Airport,New York
SWO,Stillwater Regional Airport,Stillwater
SWW,Avenger Field,Sweetwater
SXP,Nunam Iqua Airport,Nunam Iqua
SYI,Bomar Field/Shelbyville Municipal Airport,Shelbyville
SYN,Stanton Airfield,Stanton
SYR,Syracuse Hancock International Airport,Syracuse
SYV,Sylvester Airport,Sylvester
SZL,Whiteman Afb Airport,Knob Noster
SZP,Santa Paula Airport,Santa Paula
TBC,Tuba City Airport,Tuba City
TAD,Perry Stokes Airport,Trinidad
TBN,Waynesville-St Robert Regional Forney Field,Fort Leonard Wood
TBR,Statesboro-Bulloch County Airport,Statesboro
TCC,Tucumcari Municipal Airport,Tucumcari
TCL,Tuscaloosa Ntl Airport,Tuscaloosa
TCM,Mcchord Field (Joint Base Lewis-Mcchord) Airport,Tacoma
TCS,Truth Or Consequences Municipal Airport,Truth Or Consequences
TDO,Ed Carlson Memorial Field/South Lewis County Airport,Toledo
TDW,Tradewind Airport,Amarillo
TDZ,Toledo Executive Airport,Toledo
TEB,Teterboro Airport,Teterboro
TEX,Telluride Regional Airport,Telluride
THA,Tullahoma Regional/Wm Northern Field,Tullahoma
THM,Thompson Falls Airport,Thompson Falls
THV,York Airport,York
TIK,Tinker Afb Airport,Oklahoma City
TIW,Tacoma Narrows Airport,Tacoma
TIX,Space Coast Regional Airport,Titusville
KNT,Kennett Memorial Airport,Kennett
TLH,Tallahassee International Airport,Tallahassee
TLR,Mefford Field,Tulare
TMA,Henry Tift Myers Airport,Tifton
TMB,Miami Executive Airport,Miami
OTK,Tillamook Airport,Tillamook
ASQ,Austin Airport,Austin
TNP,Twentynine Palms Airport,Twentynine Palms
TNT,Dade-Collier Training And Transition Airport,Miami
TNU,Newton Municipal-Earl Johnson Field,Newton
XSD,Tonopah Test Range,Tonopah
TOA,Zamperini Field,Torrance
TOC,Toccoa Rg Letourneau Field,Toccoa
TOI,Troy Municipal At N Kenneth Campbell Field,Troy
TOL,Eugene F Kranz Toledo Express Airport,Toledo
TOP,Philip Billard Municipal Airport,Topeka
TOR,Torrington Municipal Airport,Torrington
TPA,Tampa International Airport,Tampa
TPF,Peter O Knight Airport,Tampa
TPH,Tonopah Airport,Tonopah
TPL,Draughon-Miller Central Texas Regional Airport,Temple
PTA,Port Alsworth Airport,Port Alsworth
TRI,Tri-Cities Airport,Bristol/Johnson/Kingsport
TKF,Truckee-Tahoe Airport,Truckee
TRL,Terrell Municipal Airport,Terrell
TRM,Jacqueline Cochran Regional Airport,Palm Springs
TRX,Trenton Municipal Airport,Trenton
TSG,Tanacross Airport,Tanacross
TSP,Tehachapi Municipal Airport,Tehachapi
TTD,Portland-Troutdale Airport,Portland
TTN,Trenton Mercer Airport,Trenton
TUL,Tulsa International Airport,Tulsa
TUP,Tupelo Regional Airport,Tupelo
TUS,Tucson International Airport,Tucson
TVC,Cherry Capital Airport,Traverse City
TVF,Thief River Falls Regional Airport,Thief River Falls
TVI,Thomasville Regional Airport,Thomasville
TVL,Lake Tahoe Airport,South Lake Tahoe
TWF,Joslin Field/Magic Valley Regional Airport,Twin Falls
NIR,Chase Field Industrial Airport,Beeville
TXK,Texarkana Regional-Webb Field,Texarkana
TYE,Tyonek Airport,Tyonek
TYZ,Taylor Airport,Taylor
TYR,Tyler Pounds Regional Airport,Tyler
TYS,Mc Ghee Tyson Airport,Knoxville
BFG,Bullfrog Basin Airport,Glen Canyon Natl Rec Area
NPH,Nephi Municipal Airport,Nephi
RVR,Green River Municipal Airport,Green River
DBS,Dubois Municipal Airport,Dubois
PNU,Panguitch Municipal Airport,Panguitch
MXC,Monticello Airport,Monticello
ICS,Cascade Airport,Cascade
UBS,Columbus-Lowndes County Airport,Columbus
UCY,Everett-Stewart Regional Airport,Union City
UDD,Bermuda Dunes Airport,Palm Springs
UES,Waukesha County Airport,Waukesha
UGB,Ugashik Bay Airport,Pilot Point
UGN,Waukegan Ntl Airport,Chicago/Waukegan
UIL,Quillayute Airport,Quillayute
UIN,Quincy Regional-Baldwin Field,Quincy
IKB,Wilkes County Airport,North Wilkesboro
UKI,Ukiah Municipal Airport,Ukiah
UKT,Quakertown Airport,Quakertown
ULM,New Ulm Municipal Airport,New Ulm
ATO,Ohio University Airport,Athens/Albany
UNU,Dodge County Airport,Juneau
SCE,State College Regional Airport,State College
UOS,Franklin County Airport,Sewanee
UOX,University-Oxford Airport,Oxford
UTM,Tunica Municipal Airport,Tunica
HTV,Huntsville Municipal Airport,Huntsville
NPT,Newport State Airport,Newport
UVA,Garner Field,Uvalde
RKH,Rock Hill/York County/Bryant Field,Rock Hill
VAD,Moody Afb Airport,Valdosta
LLY,South Jersey Regional Airport,Mount Holly
VBG,Vandenberg Space Force Base Airport,Lompoc
VCT,Victoria Regional Airport,Victoria
VCV,Southern California Logistics Airport,Victorville
VDI,Vidalia Regional Airport,Vidalia
VEL,Vernal Regional Airport,Vernal
VGT,North Las Vegas Airport,Las Vegas
VHN,Culberson County Airport,Van Horn
VIH,Rolla Ntl Airport,Rolla/Vichy
VIS,Visalia Municipal Airport,Visalia
VJI,Virginia Highlands Airport,Abingdon
VKS,Vicksburg Municipal Airport,Vicksburg
VLA,Vandalia Municipal Airport,Vandalia
VLD,Valdosta Regional Airport,Valdosta
VNC,Venice Municipal Airport,Venice
VNY,Van Nuys Airport,Van Nuys
VOK,Volk Field,Camp Douglas
VPS,Eglin Afb/Destin-Ft Walton Beach Airport,Valparaiso/Destin-Ft Walton Beach
VPZ,Porter County Regional Airport,Valparaiso
VQQ,Cecil Airport,Jacksonville
VRB,Vero Beach Regional Airport,Vero Beach
VSF,Hartness State (Springfield) Airport,Springfield
VTN,Miller Field,Valentine
VYS,Illinois Valley Regional-Walter A Duncan Field,Peru
GTY,Gettysburg Regional Airport,Gettysburg
SQV,Sequim Valley Airport,Sequim
RCE,Roche Harbor Seaplane Base,Roche Harbor
WAL,Wallops Flight Facility Airport,Wallops Island
WAY,Greene County Airport,Waynesburg
WBB,Stebbins Airport,Stebbins
WBW,Wilkes-Barre Wyoming Valley Airport,Wilkes-Barre
WDG,Enid Woodring Regional Airport,Enid
WDR,Barrow County Airport,Winder
WEA,Parker County Airport,Weatherford
WHP,Whiteman Airport,Los Angeles
WJF,General Wm J Fox Airfield,Lancaster
WLD,Strother Field,Winfield/Arkansas City
WLW,Willows/Glenn County Airport,Willows
WMC,Winnemucca Municipal Airport,Winnemucca
WRB,Robins Afb Airport,Warner Robins
WRI,Mc Guire Field (Joint Base Mc Guire Dix Lakehurst) Airport,Wrightstown
WRL,Worland Municipal Airport,Worland
WSM,Wiseman Airport,Wiseman
WST,Westerly State Airport,Westerly
WVI,Watsonville Municipal Airport,Watsonville
WVL,Waterville Robert Lafleur Airport,Waterville
WWD,Cape May County Airport,Wildwood
WWR,West Woodward Airport,Woodward
WYS,Yellowstone Airport,West Yellowstone
KYO,Tampa North Aero Park Airport,Tampa
HUC,Dr Hermenegildo Ortiz Quinones Airport,Humacao
XNA,Northwest Arkansas Ntl Airport,Fayetteville/Springdale/Rogers
XWA,Williston Basin International Airport,Williston
UKN,Waukon Municipal Airport,Waukon
WBK,West Branch Community Airport,West Branch
YIP,Willow Run Airport,Detroit
YKM,Yakima Air Trml/Mcallister Field,Yakima
YKN,Chan Gurney Municipal Airport,Yankton
YNG,Youngstown/Warren Regional Airport,Youngstown/Warren
BCC,Bear Creek 3 Airport,Bear Creek
KBC,Birch Creek Airport,Birch Creek
CZC,Copper Center 2 Airport,Copper Center
ZNC,Nyac Airport,Nyac
ZPH,Zephyrhills Municipal Airport,Zephyrhills
ZZV,Zanesville Municipal Airport,Zanesville
KFZ,Kukes Airport,Kukes
TIA,Tirana International Airport Mother Teresa,Tirana
BOJ,Burgas Airport,Burgas
GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa
HKV,Uzundzhovo Air Base,Haskovo
JAM,Bezmer Air Base,Yambol
PDV,Plovdiv International Airport,Plovdiv
SOF,Sofia Airport,Sofia
SLS,Silistra Polkovnik Lambrinovo Airfield,Silistra
SZR,Stara Zagora Airport,Stara Zagora
TGV,Bukhovtsi Airfield,Targovishte
VAR,Varna Airport,Varna
ECN,Ercan International Airport,Nicosia
LCA,Larnaca International Airport,Larnarca
PFO,Paphos International Airport,Paphos
DBV,Dubrovnik Airport,Dubrovnik
LSZ,Losinj Island Airport,Losinj
OSI,Osijek Airport,Osijek
PUY,Pula Airport,Pula
RJK,Rijeka Airport,Rijeka
BWK,Brac Airport,Brac Island
SPU,Split Airport,Split
ZAG,Zagreb Airport,Zagreb
ZAD,Zemunik Airport,Zadar
ABC,Albacete-Los Llanos Airport,Albacete
ALC,Alicante International Airport,Alicante
LEI,Almeria International Airport,Almeria
OVD,Asturias Airport,Ranon
ODB,Cordoba Airport,Cordoba
BIO,Bilbao Airport,Bilbao
RGS,Burgos Airport,Burgos
BCN,Barcelona International Airport,Barcelona
BJZ,Badajoz Airport,Badajoz
CDT,Castellon de la Plana Airport,Castellón de la Plana
LCG,A Coruna Airport,Culleredo
ILD,Lleida-Alguaire Airport,Lleida
GRO,Girona Airport,Girona
GRX,Federico Garcia Lorca Airport,Granada
HSK,Huesca/Pirineos Airport,Monflorite/Alcala del Obispo
IBZ,Ibiza Airport,Ibiza
XRY,Jerez Airport,Jerez de la Forntera
MJV,San Javier Airport,San Javier
LEN,Leon Airport,Leon
RJL,Logrono-Agoncillo Airport,Logrono
MAD,Madrid Barajas International Airport,Madrid
AGP,Malaga Airport,Malaga
MAH,Menorca Airport,Menorca Island
RMU,Región de Murcia International Airport,Corvera
OZP,Moron Air Base,Moron
PMI,Palma De Mallorca Airport,Palma De Mallorca
PNA,Pamplona Airport,Pamplona
CQM,Ciudad Real International Airport,Ciudad Real
REU,Reus Air Base,Reus
ROZ,Rota Naval Station Airport,Rota
SLM,Salamanca Airport,Salamanca
EAS,San Sebastian Airport,Hondarribia
SCQ,Santiago de Compostela Airport,Santiago de Compostela
LEU,Aerodrom dels Pirineus-Alt Urgell Airport,Montferrer / Castellbo
TEV,Teruel Airport,Teruel
TOJ,Torrejon Airport,Madrid
VLC,Valencia Airport,Valencia
VLL,Valladolid Airport,Valladolid
VIT,Vitoria/Foronda Airport,Alava
VGO,Vigo Airport,Vigo
SDR,Santander Airport,Santander
ZAZ,Zaragoza Air Base,Zaragoza
SVQ,Sevilla Airport,Sevilla
DPE,St Aubin Airport,Dieppe
CQF,Calais-Dunkerque Airport,Marck
BYF,Albert-Bray Airport,Albert/Bray
LTQ,Le Touquet-Cote d'Opale Airport,Le Touquet-Paris-Plage
AGF,Agen-La Garenne Airport,Agen/La Garenne
BOD,Bordeaux-Merignac (BA 106) Airport,Bordeaux/Merignac
EGC,Bergerac-Roumaniere Airport,Bergerac/Roumaniere
CNG,Cognac-Chateaubernard (BA 709) Air Base,Cognac/Chateaubernard
LRH,La Rochelle-Ile de Re Airport,La Rochelle/Ile de Re
PIS,Poitiers-Biard Airport,Poitiers/Biard
MCU,Montlucon-Gueret Airport,Montlucon/Gueret
LIG,Limoges Airport,Limoges/Bellegarde
NIT,Niort-Souche Airport,Niort/Souche
TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac
PUF,Pau Pyrenees Airport,Pau/Pyrenees (Uzein)
LDE,Tarbes-Lourdes-Pyrenees Airport,Tarbes/Lourdes/Pyrenees
ANG,Angouleme-Brie-Champniers Airport,Angouleme/Brie/Champniers
PGX,Perigueux-Bassillac Airport,Perigueux/Bassillac
BIQ,Biarritz-Anglet-Bayonne Airport,Biarritz/Anglet/Bayonne
ZAO,Cahors-Lalbenque Airport,Cahors/Lalbenque
LBI,Albi-Le Sequestre Airport,Albi/Le Sequestre
DCM,Castres-Mazamet Airport,Castres/Mazamet
RDZ,Rodez-Marcillac Airport,Rodez/Marcillac
RYN,Royan-Medis Airport,Royan/Medis
RCO,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant
IDY,Ile d'Yeu Airport,Ile d'Yeu
CMR,Colmar-Houssen Airport,Colmar/Houssen
DLE,Dole-Tavaux Airport,Dole/Tavaux
MVV,Megeve Airport,Verdun
OBS,Aubenas-Ardeche Meridional Airport,Aubenas/Ardeche Meridional
LPY,Le Puy-Loudes Airport,Le Puy/Loudes
XBK,Bourg-Ceyzeriat Airport,Bourg/Ceyzeriat
AHZ,L'alpe D'huez Airport,Bourg
XMU,Moulins-Montbeugny Airport,Moulins/Montbeugny
ETZ,Metz-Nancy-Lorraine Airport,Metz / Nancy
ANE,Angers-Loire Airport,Angers/Marce
BIA,Bastia-Poretta Airport,Bastia/Poretta
CLY,Calvi-Sainte-Catherine Airport,Calvi/Sainte-Catherine
FSC,Figari Sud-Corse Airport,Figari Sud-Corse
AJA,Ajaccio-Napoleon Bonaparte Airport,Ajaccio/Napoleon Bonaparte
PRP,Propriano Airport,Propriano
SOZ,Solenzara (BA 126) Air Base,Solenzara
MFX,Meribel Airport,Ajaccio
AUF,Auxerre-Branches Airport,Auxerre/Branches
CMF,Chambery-Savoie Airport,Chambery/Aix-les-Bains
CFE,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne
BOU,Bourges Airport,Bourges
CVF,Courchevel Airport,Courcheval
LYS,Lyon Saint-Exupery Airport,Lyon
SYT,Saint-Yan Airport,Saint-Yan
RNE,Roanne-Renaison Airport,Roanne/Renaison
NCY,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy/Meythet
GNB,Grenoble-Isere Airport,Grenoble/Saint-Geoirs
VAF,Valence-Chabeuil Airport,Valence/Chabeuil
VHY,Vichy-Charmeil Airport,Vichy/Charmeil
AUR,Aurillac Airport,Aurillac
CHR,Chateauroux-Deols Marcel Dassault Airport,Chateauroux/Deols
LYN,Lyon-Bron Airport,Lyon/Bron
QXB,Aix-en-Provence (BA 114) Airport,Lyon
CEQ,Cannes-Mandelieu Airport,Cannes/Mandelieu
EBU,Saint-Etienne-Boutheon Airport,Saint-Etienne/Boutheon
CCF,Carcassonne Airport,Carcassonne/Salvaza
MRS,Marseille Provence Airport,Marseille
NCE,Nice-Cote d'Azur Airport,Nice
PGF,Perpignan-Rivesaltes (Llabanere) Airport,Perpignan/Rivesaltes
CTT,Le Castellet Airport,Le Castellet
BAE,Barcelonnette - Saint-Pons Airport,Le Castellet
MPL,Montpellier-Mediterranee Airport,Montpellier/Mediterranee
BZR,Beziers-Vias Airport,Beziers/Vias
AVN,Avignon-Caumont Airport,Avignon/Caumont
GAT,Gap - Tallard Airport,Avignon
MEN,Mende-Brenoux Airport,Mende/Brenoux
SCP,Mont-Dauphin - St-Crepin Airport,Mende
BVA,Paris Beauvais Tille Airport,Beauvais/Tille
EVX,Evreux-Fauville (BA 105) Air Base,Evreux/Fauville
LEH,Le Havre Octeville Airport,Le Havre/Octeville
XCR,Chalons-Vatry Air Base,Chalons/Vatry
LSO,Les Sables-d'Olonne Talmont Airport,Les Sables-d'Olonne
URO,Rouen Airport,Rouen/Vallee de Seine
TUF,Tours-Val-de-Loire Airport,Tours/Val de Loire (Loire Valley)
CET,Cholet Le Pontreau Airport,Cholet/Le Pontreau
LVA,Laval-Entrammes Airport,Laval/Entrammes
ORE,Orleans-Saint-Denis-de-l'Hotel Airport,Orleans/Saint-Denis-de-l'Hotel
LBG,Paris-Le Bourget Airport,Paris
CSF,Creil Air Base,Creil
CDG,Charles de Gaulle International Airport,Paris
TNF,Toussus-le-Noble Airport,Toussus-le-Noble
ORY,Paris-Orly Airport,Paris
POX,Pontoise - Cormeilles-en-Vexin Airport,Pontoise
VIY,Villacoublay-Velizy (BA 107) Air Base,Villacoublay/Velizy
NVS,Nevers-Fourchambault Airport,Nevers/Fourchambault
LIL,Lille-Lesquin Airport,Lille/Lesquin
HZB,Merville-Calonne Airport,Merville/Calonne
BES,Brest Bretagne Airport,Brest/Guipavas
CER,Cherbourg-Maupertus Airport,Cherbourg/Maupertus
DNR,Dinard-Pleurtuit-Saint-Malo Airport,Dinard/Pleurtuit/Saint-Malo
LBY,La Baule-Escoublac Airport,La Baule-Escoublac
GFR,Granville Airport,Granville
DOL,Deauville-Saint-Gatien Airport,Deauville
LRT,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoue
EDM,La Roche-sur-Yon Airport,La Roche-sur-Yon/Les Ajoncs
LDV,Landivisiau Air Base,Landivisiau
CFR,Caen-Carpiquet Airport,Caen/Carpiquet
LME,Le Mans-Arnage Airport,Le Mans/Arnage
RNS,Rennes-Saint-Jacques Airport,Rennes/Saint-Jacques
LAI,Lannion-Cote de Granit Airport,Lannion
UIP,Quimper-Cornouaille Airport,Quimper/Pluguffan
NTE,Nantes Atlantique Airport,Nantes
SBK,Saint-Brieuc-Armor Airport,Saint-Brieuc/Armor
MXN,Morlaix-Ploujean Airport,Morlaix/Ploujean
VNE,Vannes-Meucon Airport,Vannes/Meucon
SNR,Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir
BSL,EuroAirport Basel-Mulhouse-Freiburg Airport,Bale/Mulhouse
DIJ,Dijon-Bourgogne Airport,Dijon/Longvic
MZM,Metz-Frescaty (BA 128) Air Base,Metz/Frescaty
EPL,Epinal-Mirecourt Airport,Epinal/Mirecourt
BVE,Brive Souillac Airport,Limousin
ENC,Nancy-Essey Airport,Nancy/Essey
RHE,Reims-Champagne (BA 112) Airport,Reims/Champagne
SXB,Strasbourg Airport,Strasbourg
VTL,Vittel Champ De Course Airport,Luxeuil
TLN,Toulon-Hyeres Airport,Toulon/Hyeres/Le Palyvestre
FNI,Nimes-Arles-Camargue Airport,Nimes/Garons
LTT,La Mole Airport,La Mole
MQC,Miquelon Airport,Miquelon
FSP,St Pierre Airport,Saint-Pierre
PYR,Andravida Airport,Andravida
AGQ,Agrinion Airport,Agrinion
AXD,Dimokritos Airport,Alexandroupolis
HEW,Athen Helenikon Airport,Athens
ATH,Eleftherios Venizelos International Airport,Athens
VOL,Nea Anchialos Airport,Nea Anchialos
JKH,Chios Island National Airport,Chios Island
PKH,Porto Cheli Airport,Porto Cheli
JIK,Ikaria Airport,Ikaria Island
IOA,Ioannina Airport,Ioannina
HER,Heraklion International Nikos Kazantzakis Airport,Heraklion
KSO,Kastoria National Airport,Kastoria
KIT,Kithira Airport,Kithira Island
EFL,Kefallinia Airport,Kefallinia Island
KZS,Kastelorizo Airport,Kastelorizo Island
KLX,Kalamata Airport,Kalamata
KGS,Kos Airport,Kos Island
AOK,Karpathos Airport,Karpathos Island
CFU,Ioannis Kapodistrias International Airport,Kerkyra Island
KSJ,Kasos Airport,Kasos Island
KVA,Alexander the Great International Airport,Kavala
JKL,Kalymnos Airport,Kalymnos Island
KZI,Filippos Airport,Kozani
LRS,Leros Airport,Leros Island
LXS,Limnos Airport,Limnos Island
LRA,Larisa Airport,Larisa
JMK,Mikonos Airport,Mykonos Island
MLO,Milos Airport,Milos Island
MJT,Mytilene International Airport,Mytilene
JNX,Naxos Airport,Naxos Island
PAS,Paros Airport,Paros Island
JTY,Astypalaia Airport,Astypalaia Island
PVK,Aktion National Airport,Preveza/Lefkada
RHO,Diagoras Airport,Rodes Island
GPA,Araxos Airport,Patras
CHQ,Chania International Airport,Souda
JSI,Skiathos Island National Airport,Skiathos
SMI,Samos Airport,Samos Island
JSY,Syros Airport,Syros Island
SPJ,Sparti Airport,Sparti
JTR,Santorini Airport,Santorini Island
JSH,Sitia Airport,Crete Island
SKU,Skiros Airport,Skiros Island
SKG,Thessaloniki Macedonia International Airport,Thessaloniki
ZTH,Dionysios Solomos Airport,Zakynthos Island
BUD,Budapest Ferenc Liszt International Airport,Budapest
DEB,Debrecen International Airport,Debrecen
MCQ,Miskolc Airport,Miskolc
PEV,Pecs-Pogany Airport,Pecs-Pogany
QGY,Gyor-Per International Airport,Gyor
SOB,Sarmellek International Airport,Sarmellek
TZR,Taszar Air Base,Taszar
QZD,Szeged Glider Airport,Szeged
QAQ,L'Aquila / Preturo Airport,L'Aquila
CRV,Crotone Airport,Crotone
BRI,Bari / Palese International Airport,Bari
FOG,Foggia / Gino Lisa Airport,Foggia
TAR,Taranto / Grottaglie Airport,Grottaglie
PSR,Pescara International Airport,Pescara
BDS,Brindisi / Casale Airport,Brindisi
SUF,Lamezia Terme Airport,Lamezia Terme
CIY,Comiso Airport Vincenzo Magliocco,Comiso
CTA,Catania / Fontanarossa Airport,Catania
LMP,Lampedusa Airport,Lampedusa
PNL,Pantelleria Airport,Pantelleria
PMO,Palermo / Punta Raisi Airport,Palermo
REG,Reggio Calabria Airport,Reggio Calabria
TPS,Trapani / Birgi Airport,Trapani
BLX,Belluno Airport,Belluno
RAN,Ravenna Airport,Ravenna
AHO,Alghero / Fertilia Airport,Alghero
DCI,Decimomannu Airport,Decimomannu
CAG,Cagliari / Elmas Airport,Cagliari
OLB,Olbia / Costa Smeralda Airport,Olbia
FNU,Oristano / Fenosu Airport,Oristano
TTB,Tortoli' / Arbatax Airport,Arbatax
MXP,Malpensa International Airport,Milan
BGY,Bergamo / Orio Al Serio Airport,Bergamo
TRN,Torino / Caselle International Airport,Torino
ALL,Villanova D'Albenga International Airport,Albenga
GOA,Genova / Sestri Cristoforo Colombo Airport,Genova
LIN,Linate Airport,Milan
PMF,Parma Airport,Parma
AOT,Aosta Airport,Aosta
CUF,Cuneo / Levaldigi Airport,Cuneo
AVB,Aviano Air Base,Aviano
BZO,Bolzano Airport,Bolzano
UDN,Udine / Campoformido Air Base,Udine
